run_name,family,allow_reflection,patch_size,embedding_dim,temperature,negative_min_offset,negative_max_offset,half_width,num_negatives,train_size,val_size,test_size,batch_size,num_epochs,patience,lr,weight_decay,val_loss,val_positive_similarity_mean,val_negative_similarity_mean,val_logits_mean,val_hardest_negative_similarity_mean,val_positive_minus_hardest_negative_mean,val_similarity_gap,val_num_samples_evaluated,test_loss,test_positive_similarity_mean,test_negative_similarity_mean,test_logits_mean,test_hardest_negative_similarity_mean,test_positive_minus_hardest_negative_mean,test_similarity_gap,test_num_samples_evaluated
run_015_fam-euclidean_patch-9_emb-128_temp-0.05_neg-15-30,euclidean,False,9,128,0.05,15,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.3339160645802817,0.9725762170155843,0.08841391444206238,0.35090350381533303,0.5457755942344665,0.42680061189333596,0.8841623025735219,3000,1.3332270809809368,0.9725900185902914,0.08859115209182103,0.35030084562301633,0.5458875184059143,0.42670250272750854,0.8839988664984704,3000
run_026_fam-euclidean_patch-11_emb-64_temp-0.05_neg-6-40,euclidean,False,11,64,0.05,6,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.3492223002115886,0.9750933901468912,0.1787657978932063,0.6216813473701477,0.7161932195027669,0.25890017358462014,0.796327592253685,3000,1.3489584430058796,0.9750955662727356,0.17891403810183207,0.6219479015668233,0.716189849058787,0.2589057128429413,0.7961815281709036,3000
run_028_fam-euclidean_patch-11_emb-64_temp-0.05_neg-15-40,euclidean,False,11,64,0.05,15,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.3824403759638468,0.9743580323855082,0.08602712739507357,0.31392901905377707,0.5854073271751404,0.38895071029663086,0.8883309049904347,3000,1.381692008336385,0.9743573773701986,0.08613735309243202,0.3131775714556376,0.5854139286677043,0.38894344798723857,0.8882200242777666,3000
run_039_fam-euclidean_patch-11_emb-128_temp-0.05_neg-15-30,euclidean,False,11,128,0.05,15,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.3887502409617105,0.9753440008163452,0.08585464185476303,0.2795573178927104,0.5516569765408834,0.42368701807657877,0.8894893589615822,3000,1.3877553901672364,0.9753399963378906,0.08600338184833527,0.2785832246939341,0.5516207038561504,0.4237193171977997,0.8893366144895554,3000
run_041_fam-euclidean_patch-11_emb-128_temp-0.07_neg-6-30,euclidean,False,11,128,0.07,6,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.4176090383529663,0.9724429488182068,0.19668452191352845,0.4076888960202535,0.692979792435964,0.2794631785551707,0.7757584269046783,3000,1.4176735102335611,0.9724492901166281,0.19698550339539847,0.4079735363324483,0.693021845181783,0.27942743293444317,0.7754637867212296,3000
run_019_fam-euclidean_patch-9_emb-128_temp-0.07_neg-15-30,euclidean,False,9,128,0.07,15,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.4366222092310588,0.9682218219439188,0.10460576929648717,0.7457181873321533,0.5322733637491862,0.4359484639962514,0.8636160526474317,3000,1.4366425921122232,0.9682332156499227,0.10481095411380133,0.7460986452102661,0.5324413429896037,0.4357918759187063,0.8634222615361213,3000
run_004_fam-euclidean_patch-9_emb-64_temp-0.05_neg-15-40,euclidean,False,9,64,0.05,15,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.444962198893229,0.9710092126528422,0.07980937496821086,0.4413164795239766,0.5804503602981568,0.3905588465531667,0.8911998376846314,3000,1.4437986892064412,0.9710056101481119,0.08004046173890432,0.4407428201039632,0.5805302850405375,0.3904753313064575,0.8909651484092076,3000
run_018_fam-euclidean_patch-9_emb-128_temp-0.07_neg-6-40,euclidean,False,9,128,0.07,6,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.4764235569636026,0.9623646089235942,0.13591337581475577,0.21462234989802043,0.6614126675923665,0.30095195841789246,0.8264512331088385,3000,1.4759487101236979,0.9623769294420879,0.13622268164157866,0.21410852400461833,0.6615771134694417,0.30079981525739036,0.8261542478005092,3000
run_025_fam-euclidean_patch-11_emb-64_temp-0.05_neg-6-30,euclidean,False,11,64,0.05,6,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.4859703267415365,0.9769815270105998,0.19770238729317982,0.4058996006647746,0.7312859393755595,0.24569559001922608,0.77927913971742,3000,1.4850607109069824,0.9769859561920166,0.19794592682520548,0.4071778283119202,0.7313317823410034,0.24565416332085926,0.779040029366811,3000
run_002_fam-euclidean_patch-9_emb-64_temp-0.05_neg-6-40,euclidean,False,9,64,0.05,6,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.504310108502706,0.9759603241284688,0.18749687004089355,0.6565476029713948,0.7351517712275187,0.24080855655670166,0.7884634540875752,3000,1.5038539088567098,0.9759627434412639,0.18781837852795918,0.6567529474894206,0.7353877820968628,0.24057496388753255,0.7881443649133046,3000
